step,selected_teacher_weight,alpha_grid,bank_size,binary_mismatches,ternary_mismatches,any_class_mismatches,phq_mae,phq_max_abs,submission_dir
s00_baseline_only,0.0,default,1,7,7,7,3.8635529226086947,12.412113559999998,example_submissions/s00_baseline_only
s01_train_bank,0.0,default,3,7,7,7,2.9545777543478264,13.92153591,example_submissions/s01_train_bank
s02_selected_weight_0p25,0.25,default,4,7,7,7,2.727386577826087,12.85103827,example_submissions/s02_selected_weight_0p25
s03_selected_weight_0p5,0.5,default,4,7,7,7,2.5326512834782604,11.933468869999999,example_submissions/s03_selected_weight_0p5
s04_selected_weight_0p75,0.75,default,4,7,7,7,2.363880695652174,11.13824206,example_submissions/s04_selected_weight_0p75
s05_selected_weight_1p0,1.0,default,4,7,7,7,2.21620643,10.442418589999999,example_submissions/s05_selected_weight_1p0
s06_selected_weight_1p5,1.5,default,4,4,5,5,1.9700826543478258,9.282712819999999,example_submissions/s06_selected_weight_1p5
s07_selected_weight_2p0,2.0,default,4,4,5,5,1.7731836360869566,8.354948209999998,example_submissions/s07_selected_weight_2p0
s08_selected_weight_3p0,3.0,default,4,4,4,4,1.4778351065217388,6.96330128,example_submissions/s08_selected_weight_3p0
s09_selected_weight_5p0,5.0,default,4,0,0,0,1.1086494452173912,5.2237426299999985,example_submissions/s09_selected_weight_5p0
s10_selected_weight_10p0,10.0,default,4,0,0,0,0.6826659895652173,3.2165595599999985,example_submissions/s10_selected_weight_10p0
s11_selected_weight_25p0,25.0,default,4,0,0,0,0.3175373130434782,1.4961169399999985,example_submissions/s11_selected_weight_25p0
s12_selected_weight_50p0,50.0,default,4,0,0,0,0.16827087304347813,0.7927913399999973,example_submissions/s12_selected_weight_50p0
s13_selected_weight_100p0,100.0,default,4,0,0,0,0.08713895826086952,0.4104007199999984,example_submissions/s13_selected_weight_100p0
s14_selected_weight_250p0,250.0,default,4,0,0,0,0.03623773391304342,0.17008407999999875,example_submissions/s14_selected_weight_250p0
s15_selected_weight_1000p0,1000.0,default,4,0,0,0,0.010102010869565142,0.046691199999997934,example_submissions/s15_selected_weight_1000p0
s16_selected_only,selected_only,default,1,0,0,0,0.001798093478260849,0.0058006499999999905,example_submissions/s16_selected_only
s17_selected_only_low_alpha,selected_only_low_alpha,1e-10,1,0,0,0,0.0008992256521738504,0.002900959999999994,example_submissions/s17_selected_only_low_alpha
